,Rank,country,country_code,1980,1990,2000,2010,2020,area,growth_rate,population_density
66,67,Ecuador,ECU,8135845,12626507,14989585,17797737,18001000,276841,0.0114,72.4795
67,68,Guatemala,GTM,6987767,11735894,14543121,17608483,17843908,108889,0.0134,166.5165
68,69,Chad,TCD,4408230,8259137,11894727,17179740,17723315,1284000,0.0316,14.0751
69,70,Somalia,SOM,5892224,8721465,12026649,17065581,17597511,637657,0.0312,28.051
70,71,Netherlands,NLD,14130387,15899135,16617116,17501696,17564014,41850,0.0036,521.6517
71,72,Senegal,SEN,5703869,9704287,12530121,16876720,17316449,196722,0.0261,89.9416
72,73,Cambodia,KHM,6198959,12118841,14363532,16589023,16767842,181035,0.0108,94.9912
73,74,Zimbabwe,ZWE,7049926,11834676,12839771,15993524,16320537,390757,0.0204,42.1883
74,75,Guinea,GIN,4972609,8336967,10270728,13531906,13859341,245857,0.0242,56.403
75,76,Rwanda,RWA,5247532,8109989,10309031,13461888,13776698,26338,0.0234,558.4393
76,77,Benin,BEN,3833939,6998023,9445710,12996895,13352864,112622,0.0274,118.4184
77,78,Burundi,BDI,4312834,6307659,9126605,12551213,12889576,27834,0.027,501.9305
78,79,Tunisia,TUN,6578156,9893316,10895063,12262946,12356117,163610,0.0076,79.5322
79,80,Bolivia,BOL,5736088,8592656,10223270,12079472,12224110,1098581,0.012,11.2841
80,81,Belgium,BEL,9828986,10264343,10877947,11611419,11655930,30528,0.0038,384.9382
81,82,Haiti,HTI,5646676,8360225,9842880,11447569,11584996,27750,0.012,420.3554
82,83,Jordan,JOR,2216903,5056174,6931258,11148278,11285869,89342,0.0123,127.1017
83,84,Dominican Republic,DOM,5755800,8540791,9775755,11117873,11228821,48671,0.01,232.4326
84,85,Cuba,CUB,9809107,11105791,11290417,11256372,11212191,109884,-0.0039,108.0173
85,86,South Sudan,SSD,4192012,6114440,9714419,10748272,10913164,619745,0.0153,17.2696
86,87,Sweden,SWE,8311763,8871043,9381729,10467097,10549347,450295,0.0079,25.9017
87,88,Czech Republic,CZE,10270060,10234710,10464749,10510751,10493986,78865,-0.0016,135.9351
88,89,Honduras,HND,3777990,6656725,8450933,10278345,10432860,112492,0.015,93.2421
89,90,Greece,GRC,9307148,11038109,11033783,10445365,10384971,131990,-0.0058,80.5661
90,91,Azerbaijan,AZE,6383060,8190337,9237202,10312992,10358074,86600,0.0044,125.3306
91,92,Portugal,PRT,9785252,10300626,10588401,10290103,10270865,92090,-0.0019,112.1205
92,93,Papua New Guinea,PNG,3104788,5508297,7583269,9949437,10142619,462840,0.0194,22.3968
93,94,Hungary,HUN,10698679,10202055,9986825,9709786,9967308,93028,0.0265,109.2188
94,95,Tajikistan,TJK,4045965,6272998,7621779,9750064,9952787,143100,0.0208,71.7111
95,96,Belarus,BLR,9817257,10256483,9731427,9578167,9534954,207600,-0.0045,46.9748
96,97,United Arab Emirates,ARE,1014048,3275333,8481771,9365145,9441129,83600,0.0081,132.9362
97,98,Israel,ISR,3744608,6116958,7328445,8900059,9038309,20770,0.0155,417.6668
98,99,Austria,AUT,7547561,8010428,8362829,8922082,8939617,83871,0.002,108.3327
99,100,Togo,TGO,2838110,5008035,6571855,8644829,8848699,56785,0.0236,162.6898
100,101,Switzerland,CHE,6319113,7182059,7822435,8691406,8740472,41284,0.0056,221.1882
101,102,Sierra Leone,SLE,3367477,4584067,6436698,8420641,8605718,71740,0.022,119.2258
102,103,Laos,LAO,3297519,5430853,6323418,7425057,7529475,236800,0.0141,32.6234
103,104,Hong Kong,HKG,4978544,6731195,7132438,7494578,7488865,1104,-0.0008,7132.2524
104,105,Serbia,SRB,7777010,7935022,7653748,7296769,7221365,88361,-0.0103,82.5676
105,106,Nicaragua,NIC,3303309,5123222,5855734,6850540,6948392,130373,0.0143,57.7397
106,107,Libya,LBY,2962720,5154790,6491988,6735277,6812341,1759540,0.0114,3.8717
107,108,Bulgaria,BGR,8980606,8097691,7592273,6885868,6781953,110879,-0.0151,62.4719
108,109,Paraguay,PRY,3078912,5123819,5768613,6703799,6780744,406752,0.0115,17.0671
109,110,Kyrgyzstan,KGZ,3691209,4935182,5483774,6527743,6630623,199951,0.0158,34.5705
110,111,Turkmenistan,TKM,2862903,4569132,5267970,6341855,6430770,488100,0.014,13.6845
111,112,El Salvador,SLV,4508992,5958482,6114034,6314167,6336392,21041,0.0035,305.8104
112,113,Singapore,SGP,2400729,4053602,5163590,5941060,5975689,710,0.0058,8322.6866
113,114,Republic of the Congo,COG,1829256,3134030,4437884,5835806,5970424,342000,0.0231,17.4829
114,115,Denmark,DNK,5125392,5340655,5550849,5854240,5882261,43094,0.0048,147.0565
115,116,Slovakia,SVK,4973883,5376690,5396424,5447622,5643453,49037,0.0359,115.0903
116,117,Central African Republic,CAF,2415276,3759170,4660067,5457154,5579144,622984,0.0224,8.9556
117,118,Finland,FIN,4779418,5176209,5363271,5535992,5540745,338424,0.0009,18.2297
118,119,Lebanon,LBN,2963702,4320642,4995800,5592631,5489739,10452,-0.0184,536.6314
119,120,Norway,NOR,4085776,4491202,4889741,5403021,5434319,323802,0.0058,14.9178
120,121,Liberia,LBR,1932169,2895224,4019956,5193416,5302681,111369,0.021,55.0528
121,122,Palestine,PSE,1453620,3139954,3992278,5133392,5250072,6220,0.0227,872.105
122,123,New Zealand,NZL,3147168,3855266,4346338,5129727,5185288,270467,0.0108,19.6927
123,124,Costa Rica,CRI,2414303,3979193,4622252,5153957,5180829,51100,0.0052,101.4655
124,125,Ireland,IRL,3391387,3768950,4524585,4986526,5023109,70273,0.0073,72.9149
125,126,Mauritania,MRT,1506694,2695003,3419461,4614974,4736139,1030700,0.0263,4.5951
126,127,Oman,OMN,1017462,2344253,2881914,4520471,4576298,309500,0.0123,14.7861
127,128,Panama,PAN,1956987,3001731,3623617,4351267,4408581,75417,0.0132,59.4309
128,129,Kuwait,KWT,1493870,1934901,2943356,4250114,4268873,17818,0.0044,239.5552
129,130,Croatia,HRV,4680144,4548434,4368682,4060135,4030358,56594,-0.0073,72.0221
130,131,Georgia,GEO,5145843,4265172,3836831,3757980,3744385,69700,-0.0036,53.8838
131,132,Eritrea,ERI,1657982,2392880,3147727,3620312,3684032,117600,0.0176,30.4363
132,133,Uruguay,URY,2953750,3292224,3352651,3426260,3422794,181034,-0.001,19.5566
133,134,Mongolia,MNG,1697780,2450979,2702520,3347782,3398366,1564110,0.0151,2.1819
134,135,Moldova,MDA,4103240,4251573,3678186,3061506,3272996,33846,0.0691,99.5297
135,136,Puerto Rico,PRI,3214568,3827108,3717922,3256028,3252407,8870,-0.0011,366.675
136,137,Bosnia and Herzegovina,BIH,4199820,4179350,3811088,3270943,3233526,51209,-0.0114,63.1548
137,138,Albania,ALB,2941651,3182021,2913399,2854710,2842321,28748,-0.0043,103.7343
138,139,Jamaica,JAM,2135546,2612205,2733896,2827695,2827377,10991,-0.0001,261.069
139,140,Armenia,ARM,3135123,3168523,2946293,2790974,2780469,29743,-0.0038,97.6631
140,141,Lithuania,LTU,3521206,3599637,3139019,2786651,2750055,65300,-0.0131,43.9166
141,142,Gambia,GMB,718586,1437539,1937275,2639916,2705992,10689,0.025,267.3905
142,143,Qatar,QAT,277450,645937,1713504,2688235,2695122,11586,0.0026,234.5624
143,144,Botswana,BWA,938578,1726985,2091664,2588423,2630296,582000,0.0162,4.6412
144,145,Namibia,NAM,975994,1819141,2099271,2530151,2567012,825615,0.0146,3.118
145,146,Gabon,GAB,749078,1272935,1711105,2341179,2388992,267668,0.0204,9.2715
146,147,Lesotho,LSO,1407672,1998630,2022747,2281454,2305825,30355,0.0107,75.9494
147,148,Slovenia,SVN,1901570,1984339,2057286,2119410,2119844,20273,0.0002,105.2742
148,149,Guinea-Bissau,GNB,831462,1230849,1567220,2060721,2105566,36125,0.0218,74.8779
149,150,North Macedonia,MKD,1907023,2037936,2093828,2103330,2093599,25713,-0.0046,83.0134
150,151,Latvia,LVA,2572037,2392530,2101530,1873919,1850651,64559,-0.0124,29.7389
151,152,Equatorial Guinea,GNQ,282509,684977,1094524,1634466,1674908,28051,0.0247,59.7115
152,153,Trinidad and Tobago,TTO,1127852,1332203,1410296,1525663,1531044,5130,0.0035,298.4491
153,154,Bahrain,BHR,362595,711442,1213645,1463265,1472233,765,0.0061,1875.4561
154,155,Timor-Leste,TLS,642224,878360,1088486,1320942,1341296,14874,0.0154,90.2015
155,156,Estonia,EST,1476983,1396877,1331535,1328701,1326062,45227,-0.002,31.019
156,157,Mauritius,MUS,954865,1215930,1283330,1298915,1299469,2040,0.0004,640.1325
157,158,Cyprus,CYP,679327,948237,1129686,1244188,1251488,9251,0.0059,135.4424
158,159,Eswatini,SWZ,598564,1030496,1099920,1192271,1201670,17364,0.0079,69.8645
159,160,Djibouti,DJI,324121,742033,919199,1105557,1120849,23200,0.0138,48.3541
160,161,Reunion,REU,551674,785424,890130,966129,974052,2511,0.0082,387.7596
161,162,Fiji,FJI,644582,832509,905169,924610,929766,18272,0.0056,50.8903
162,163,Comoros,COM,328328,536758,656024,821625,836774,1862,0.0184,449.6368
163,164,Guyana,GUY,778176,759051,747932,804567,808726,214969,0.0052,4.1083
164,165,Bhutan,BTN,415257,587207,705516,777486,782455,38394,0.0064,20.5153
165,166,Solomon Islands,SLB,233668,429978,540394,707851,724273,28896,0.0232,25.8761
166,167,Macau,MAC,245332,431896,557297,686607,695168,32.9,0.0125,21129.7264
167,168,Luxembourg,LUX,363741,435628,507070,639321,647599,2586,0.0129,251.5436
168,169,Montenegro,MNE,589324,633324,631044,627859,627082,13812,-0.0012,46.6232
169,170,Suriname,SUR,375112,478998,546080,612985,618040,163820,0.0082,3.9618
170,171,Cape Verde,CPV,317234,458251,521212,587925,593149,4033,0.0089,147.0739
171,172,Western Sahara,ESH,116775,270375,413296,565581,575986,266000,0.0184,2.1654
172,173,Malta,MLT,333587,399212,418755,526748,533286,316,0.0124,1666.5188
173,174,Maldives,MDV,164887,282507,361575,521457,523787,300,0.0045,1745.9567
174,175,Brunei,BRN,187921,333926,396053,445373,449002,5765,0.0081,85.1996
175,176,Bahamas,BHS,223752,325014,373272,407906,409984,13943,0.0051,40.9574
176,177,Belize,BLZ,145133,240406,322106,400031,405272,22966,0.0131,17.7673
177,178,Guadeloupe,GLP,334234,424067,403072,396051,395752,1628,-0.0008,243.0909
178,179,Iceland,ISL,228263,281462,318333,370335,372899,103000,0.0069,3.6983
179,180,Martinique,MTQ,333786,432543,392181,368796,367507,1128,-0.0035,325.8041
180,181,Vanuatu,VUT,118156,192074,245453,319137,326740,12189,0.0238,26.8039
181,182,Mayotte,MYT,52233,159215,211786,316014,326101,374,0.0319,871.9278
182,183,French Polynesia,PYF,163591,250927,283788,304032,306279,4167,0.0074,88.2394
183,184,French Guiana,GUF,66825,164351,228453,297449,304557,83534,0.0239,3.6459
184,185,New Caledonia,NCL,148599,221537,261426,287800,289950,18575,0.0075,15.8616
185,186,Barbados,BRB,253575,264657,274711,281200,281635,430,0.0015,654.9651
186,187,Sao Tome and Principe,STP,97210,143714,182138,223107,227380,964,0.0192,236.8542
187,188,Samoa,WSM,164905,184008,194672,218764,222382,2842,0.0165,79.9935
188,189,Curacao,CUW,156851,141424,159380,190338,191163,444,0.0043,430.5473
189,190,Saint Lucia,LCA,121633,159500,170935,179651,179857,616,0.0011,294.8475
190,191,Guam,GUM,110286,160188,164905,170534,171774,549,0.0073,318.1
191,192,Kiribati,KIR,60813,88826,107995,128874,131232,811,0.0183,162.0148
192,193,Grenada,GRD,94838,107432,114039,124610,125438,344,0.0066,368.9353
193,194,Micronesia,FSM,76299,111709,107588,113131,114164,702,0.0091,163.0914
194,195,Jersey,JEY,75124,86192,96151,109618,110778,116,0.0106,923.15
195,196,Seychelles,SYC,65290,80060,92409,106471,107118,452,0.0061,232.8652
196,197,Tonga,TON,96708,102603,107383,106017,106858,747,0.0079,148.4139
197,198,Aruba,ABW,62267,89101,100341,106537,106445,180,-0.0009,591.3611
198,199,Saint Vincent and the Grenadines,VCT,107480,113813,109308,104332,103948,389,-0.0037,266.5333
199,200,United States Virgin Islands,VIR,96640,108185,106142,100091,99465,347,-0.0063,286.6427
200,201,Antigua and Barbuda,ATG,64889,75055,85695,93219,93763,442,0.0058,213.0977
201,202,Isle of Man,IMN,64022,75562,83828,84263,84519,572,0.003,148.2789
202,203,Andorra,AND,35611,66097,71519,79034,79824,468,0.01,169.8383
203,204,Dominica,DMA,72978,68346,68755,72412,72737,751,0.0045,96.9827
204,205,Cayman Islands,CYM,17100,39658,54074,68136,68706,264,0.0084,286.275
205,206,Bermuda,BMU,53565,61371,63447,64185,64184,54,0,1188.5926
206,207,Guernsey,GGY,52860,59114,60782,63065,63301,78,0.0037,1004.7778
207,208,Greenland,GRL,50106,56184,56351,56243,56466,2166086,0.004,0.1376
208,209,Faroe Islands,FRO,43054,45660,48410,52889,53090,1393,0.0038,38.8653
209,210,Northern Mariana Islands,MNP,17613,80338,54087,49481,49551,464,0.0014,107.7196
210,211,Saint Kitts and Nevis,KNA,43097,45461,47403,47606,47657,261,0.0011,183.2962
211,212,Turks and Caicos Islands,TCA,7598,18744,29726,45114,45703,948,0.0131,48.2099
212,213,American Samoa,ASM,32886,58230,54849,45035,44273,199,-0.0169,221.365
213,214,Sint Maarten,SXM,12243,30489,33034,44042,44175,34,0.003,1299.2647
214,215,Marshall Islands,MHL,31988,54224,53416,42050,41569,181,-0.0114,230.9389
215,216,Liechtenstein,LIE,25003,33026,35926,39039,39327,160,0.0074,245.7938
216,217,Monaco,MCO,27076,32465,33178,36686,36469,2.02,-0.0059,18234.5
217,218,San Marino,SMR,21346,26823,31608,33745,33660,61,-0.0025,561
218,219,Gibraltar,GIB,28734,27741,31262,32668,32649,6.8,-0.0006,4801.3235
219,220,Saint Martin,MAF,7776,29610,36458,31948,31791,53,-0.0049,635.82
220,221,British Virgin Islands,VGB,11109,20104,27556,31122,31305,151,0.0059,208.7
221,222,Palau,PLW,12252,19726,18540,18024,18055,459,0.0017,39.25
222,223,Cook Islands,COK,17651,15897,17212,17003,17011,240,0.0005,70.8792
223,224,Anguilla,AIA,6560,11047,13172,15753,15857,91,0.0066,174.2527
224,225,Nauru,NRU,7635,10377,10241,12511,12668,21,0.0125,633.4
225,226,Wallis and Futuna,WLF,11315,14723,13142,11627,11572,274,-0.0047,42.2336
226,227,Tuvalu,TUV,7731,9638,10550,11204,11312,26,0.0096,377.0667
227,228,Saint Barthelemy,BLM,2983,7082,8988,10861,10967,21,0.0098,438.68
228,229,Saint Pierre and Miquelon,SPM,6106,6274,6052,5883,5862,242,-0.0036,24.2231
229,230,Montserrat,MSR,11452,5138,4938,4417,4390,102,-0.0061,43.0392
230,231,Falkland Islands,FLK,2240,3080,3187,3764,3780,12173,0.0043,0.3105
231,232,Niue,NIU,3637,2074,1812,1937,1934,261,-0.0015,7.41
232,233,Tokelau,TKL,1647,1666,1367,1849,1871,12,0.0119,187.1
233,234,Vatican City,VAT,733,651,596,511,510,0.44,-0.002,1159.0909
